,Unnamed: 0,UserId,Domain,Expertise,Interest,Entrepreneur_rating,Influencer_rating,Expert_rating,Investor_rating
0,0,9fc06f4a-257f-11ea-91be-0242ac1c0002,influencer,IT,Bollywood,0.976685239669904,0.4543496872219719,0.47407536298371394,0.2875137903295387
1,1,9fc084f8-257f-11ea-91be-0242ac1c0002,investor,Sales distribution,ml,0.9607062815659254,0.5176199018446086,0.31313033557174874,0.9083478146612366
2,2,9fc085ca-257f-11ea-91be-0242ac1c0002,expert,Sales distribution,Adventure/AI,0.8133396345710541,0.3131731998818742,0.2742520847658065,0.20283961587201926
3,3,9fc0864c-257f-11ea-91be-0242ac1c0002,UNKNOWN,IT,android,0.8968869543034123,0.6244701934983252,0.2877214091653155,0.7694120790861785
4,4,9fc086c4-257f-11ea-91be-0242ac1c0002,entrepreneur,IT,Travel/java,0.6317127470745469,0.7440824392654902,0.12903058046238447,0.0238324457463569
5,5,9fc0873c-257f-11ea-91be-0242ac1c0002,UNKNOWN,Public relations,java/Cricket,,,,
6,6,9fc087d2-257f-11ea-91be-0242ac1c0002,UNKNOWN,IT,Bollywood,,,,
7,7,9fc08868-257f-11ea-91be-0242ac1c0002,entrepreneur,Legal or regulatory,javascript/Sports Car/Bollywood,0.6506739230688331,0.9714730318568002,0.5264571083555611,0.2973788525433352
8,8,9fc08926-257f-11ea-91be-0242ac1c0002,influencer,Public relations,Travel/java,,,,
9,9,9fc089a8-257f-11ea-91be-0242ac1c0002,influencer,Legal or regulatory,Travel/java,0.8211554016624937,0.4401806771360608,0.9720301912402772,0.7758304770121162
10,10,9fc08a20-257f-11ea-91be-0242ac1c0002,UNKNOWN,IT,Travel/java,0.19917573089651386,0.06803721745687141,0.8892451791558247,0.3433967463839277
11,11,9fc08a98-257f-11ea-91be-0242ac1c0002,investor,IT,Sports Car,0.03677233595070661,0.4654288191505434,0.7109282153552507,0.4590935363284212
12,12,9fc08b10-257f-11ea-91be-0242ac1c0002,expert,Accounting,java/Cricket,,,,
13,13,9fc08b88-257f-11ea-91be-0242ac1c0002,influencer,Sales distribution,c++,,,,
14,14,9fc08c00-257f-11ea-91be-0242ac1c0002,influencer,Public relations,EV/AI,,,,
15,15,9fc08d4a-257f-11ea-91be-0242ac1c0002,influencer,Accounting,EV/AI,,,,
16,16,9fc08dc2-257f-11ea-91be-0242ac1c0002,influencer,Legal or regulatory,AI,,,,
17,17,9fc08e30-257f-11ea-91be-0242ac1c0002,investor,Accounting,EV/AI,0.6636307125766808,0.5459687547142038,0.9974499067954417,0.5442004531632507
18,18,9fc08ea8-257f-11ea-91be-0242ac1c0002,UNKNOWN,Sales distribution,Cricket,0.8449146860543032,0.06909672300677039,0.5094794633326186,0.7932029976911602
19,19,9fc08f2a-257f-11ea-91be-0242ac1c0002,influencer,Public relations,Sports Car,,,,
20,20,9fc08fa2-257f-11ea-91be-0242ac1c0002,UNKNOWN,Sales distribution,c,,,,
21,21,9fc09024-257f-11ea-91be-0242ac1c0002,entrepreneur,IT,django/android/ml/Cricket/c,,,,
22,22,9fc0909c-257f-11ea-91be-0242ac1c0002,entrepreneur,Sales distribution,python/Cricket,,,,
23,23,9fc09114-257f-11ea-91be-0242ac1c0002,UNKNOWN,IT,Bike,,,,
24,24,9fc0918c-257f-11ea-91be-0242ac1c0002,expert,Public relations,c,0.8782408245493136,0.6450427413104268,0.7192275773011446,0.2298750270064419
25,25,9fc091fa-257f-11ea-91be-0242ac1c0002,UNKNOWN,Public relations,django/android/ml/Cricket/c,0.9127785406303194,0.7629063369961762,0.3940799689774948,0.5777968315942184
26,26,9fc0927c-257f-11ea-91be-0242ac1c0002,influencer,IT,EV/AI,0.2707837971983452,0.4390375236134016,0.5487493239768776,0.5227626058410011
27,27,9fc092fe-257f-11ea-91be-0242ac1c0002,influencer,IT,javascript/Sports Car/Bollywood,0.941168434062832,0.7668472856354305,0.8051993353809915,0.8241113608298807
28,28,9fc09376-257f-11ea-91be-0242ac1c0002,expert,Sales distribution,ml,,,,
29,29,9fc093ee-257f-11ea-91be-0242ac1c0002,expert,IT,Bike,0.4998480125235236,0.6757437379888906,0.8221042740839308,0.4170822313715792
30,30,9fc09466-257f-11ea-91be-0242ac1c0002,influencer,Sales distribution,android,,,,
31,31,9fc094de-257f-11ea-91be-0242ac1c0002,expert,Public relations,Bike,0.3803314224267553,0.2894959926128241,0.4100296249946572,0.4351902020872685
32,32,9fc0954c-257f-11ea-91be-0242ac1c0002,UNKNOWN,UNKNOWN,Adventure/AI,,,,
33,33,9fc095ce-257f-11ea-91be-0242ac1c0002,influencer,Public relations,Cricket,0.5984296464479922,0.3804378398646893,0.2839266514507539,0.5962371954030635
34,34,9fc09646-257f-11ea-91be-0242ac1c0002,UNKNOWN,IT,ml,0.634230348657893,0.8301839315323414,0.037499178139509766,0.819857564878678
35,35,9fc096be-257f-11ea-91be-0242ac1c0002,entrepreneur,IT,Travel/java,0.07568313927011737,0.5658545908379284,0.555318023707571,0.8580505415747222
36,36,9fc09736-257f-11ea-91be-0242ac1c0002,investor,Public relations,javascript/Sports Car/Bollywood,,,,
37,37,9fc097a4-257f-11ea-91be-0242ac1c0002,investor,Public relations,Sports Car,0.5683319388503607,0.8773932423709573,0.8192540068205971,0.8548817743143231
38,38,9fc0986c-257f-11ea-91be-0242ac1c0002,expert,Legal or regulatory,python/Cricket,0.6474302070964785,0.04370148901183635,0.8015632348458425,0.3362213298628192
39,39,9fc098f8-257f-11ea-91be-0242ac1c0002,entrepreneur,UNKNOWN,c,0.3826024993544358,0.2309364525928572,0.804089883442933,0.8911101785416387
40,40,9fc09970-257f-11ea-91be-0242ac1c0002,expert,UNKNOWN,javascript/Sports Car/Bollywood,0.6307731124603758,0.986352851170943,0.8852929243299001,0.8705929767260601
