,UserId,Domain,Expertise,Interest,Entrepreneur_rating,Influencer_rating,Expert_rating,Investor_rating
0,808db6fe-2576-11ea-91be-0242ac1c0002,entrepreneur,Sales distribution,Bollywood,0.6867812987472108,0.07118225947558021,0.8213885629394778,0.20763270280522006
1,808db9a6-2576-11ea-91be-0242ac1c0002,entrepreneur,IT,UNKNOWN,,,,
2,808dccc0-2576-11ea-91be-0242ac1c0002,expert,Public relations,django/android/ml/Cricket/c,0.4399089163975741,0.17540814346342348,0.8063737712008052,0.1854397638455253
3,808dcda6-2576-11ea-91be-0242ac1c0002,UNKNOWN,Sales distribution,Sports Car,0.4216141753703251,0.21686126073589218,0.8665332976776923,0.19227317330396987
4,808dce28-2576-11ea-91be-0242ac1c0002,UNKNOWN,Sales distribution,UNKNOWN,,,,
5,808dceaa-2576-11ea-91be-0242ac1c0002,entrepreneur,Public relations,UNKNOWN,,,,
6,808dcf18-2576-11ea-91be-0242ac1c0002,investor,UNKNOWN,UNKNOWN,,,,
7,808dcf90-2576-11ea-91be-0242ac1c0002,influencer,Legal or regulatory,UNKNOWN,,,,
8,808dcffe-2576-11ea-91be-0242ac1c0002,UNKNOWN,Accounting,django/android/ml/Cricket/c,0.7366640423216615,0.35525151528384835,0.7236411747787803,0.6107808389278383
9,808dd06c-2576-11ea-91be-0242ac1c0002,UNKNOWN,Public relations,UNKNOWN,,,,
10,808dd0e4-2576-11ea-91be-0242ac1c0002,UNKNOWN,Legal or regulatory,UNKNOWN,,,,
11,808dd152-2576-11ea-91be-0242ac1c0002,UNKNOWN,Public relations,android,0.1736279880972187,0.11352985337120713,0.986606965734082,0.3510749571406063
12,808dd1c0-2576-11ea-91be-0242ac1c0002,UNKNOWN,Legal or regulatory,Bollywood,0.5199350535090205,0.1507600894358625,0.09200022140742947,0.8405999613913336
13,808dd242-2576-11ea-91be-0242ac1c0002,investor,Legal or regulatory,UNKNOWN,,,,
14,808dd2b0-2576-11ea-91be-0242ac1c0002,influencer,Legal or regulatory,EV/AI,0.9627487260446647,0.15059575850095386,0.44602042398452724,0.9239609533655764
15,808dd31e-2576-11ea-91be-0242ac1c0002,entrepreneur,Legal or regulatory,UNKNOWN,,,,
16,808dd468-2576-11ea-91be-0242ac1c0002,investor,Public relations,android,0.8389736426960009,0.5871736382046802,0.9581818645300448,0.5082531571914806
17,808dd4ea-2576-11ea-91be-0242ac1c0002,investor,Sales distribution,UNKNOWN,,,,
